# phi  e_band1  e_band2  e_band3  e_band4
5.374810843060076060e-01 -7.056443219238721365e-02 -4.957533004935615883e-02 5.113179584500465030e-02 6.858618093002839811e-02
5.406242485417153132e-01 -7.061846385149597727e-02 -4.951779180579725381e-02 5.107271760756415535e-02 6.863936953634369731e-02
5.437674127774229094e-01 -7.067247555177944007e-02 -4.946024440739375805e-02 5.101362882272763438e-02 6.869254106346003863e-02
5.469105770131306166e-01 -7.072646725447827298e-02 -4.940268787076981111e-02 5.095452950995019159e-02 6.874569547919841261e-02
5.500537412488382127e-01 -7.078043892073865306e-02 -4.934512221252379538e-02 5.089541968865562288e-02 6.879883275130496689e-02
5.531969054845458089e-01 -7.083439051161202760e-02 -4.928754744922848180e-02 5.083629937823651301e-02 6.885195284745070088e-02
5.563400697202535161e-01 -7.088832198805479490e-02 -4.922996359743112699e-02 5.077716859805432581e-02 6.890505573523128535e-02
5.594832339559611123e-01 -7.094223331092786022e-02 -4.917237067365343856e-02 5.071802736743946660e-02 6.895814138216671552e-02
5.626263981916688195e-01 -7.099612444099641373e-02 -4.911476869439179022e-02 5.065887570569138632e-02 6.901120975570107507e-02
5.657695624273764157e-01 -7.104999533892947250e-02 -4.905715767611712463e-02 5.059971363207871331e-02 6.906426082320231419e-02
5.689127266630841229e-01 -7.110384596529961687e-02 -4.899953763527522405e-02 5.054054116583924644e-02 6.911729455196193028e-02
5.720558908987917190e-01 -7.115767628058254635e-02 -4.894190858828658536e-02 5.048135832618014934e-02 6.917031090919467662e-02
5.751990551344994262e-01 -7.121148624515684367e-02 -4.888427055154663525e-02 5.042216513227799207e-02 6.922330986203839576e-02
5.783422193702070224e-01 -7.126527581930343358e-02 -4.882662354142570243e-02 5.036296160327877885e-02 6.927629137755361710e-02
5.814853836059147296e-01 -7.131904496320552733e-02 -4.876896757426912171e-02 5.030374775829816320e-02 6.932925542272340425e-02
5.846285478416223258e-01 -7.137279363694785939e-02 -4.871130266639739359e-02 5.024452361642143400e-02 6.938220196445299415e-02
5.877717120773299220e-01 -7.142652180051672905e-02 -4.865362883410608713e-02 5.018528919670360577e-02 6.943513096956958897e-02
5.909148763130376292e-01 -7.148022941379940376e-02 -4.859594609366602036e-02 5.012604451816958517e-02 6.948804240482203687e-02
5.940580405487452254e-01 -7.153391643658377208e-02 -4.853825446132332272e-02 5.006678959981417792e-02 6.954093623688055448e-02
5.972012047844529326e-01 -7.158758282855806621e-02 -4.848055395329944894e-02 5.000752446060219986e-02 6.959381243233649095e-02
6.003443690201605287e-01 -7.164122854931041784e-02 -4.842284458579129008e-02 4.994824911946859486e-02 6.964667095770200878e-02
6.034875332558682359e-01 -7.169485355832856677e-02 -4.836512637497130535e-02 4.988896359531844182e-02 6.969951177940980624e-02
6.066306974915758321e-01 -7.174845781499934738e-02 -4.830739933698739719e-02 4.982966790702713505e-02 6.975233486381286763e-02
6.097738617272835393e-01 -7.180204127860850827e-02 -4.824966348796322357e-02 4.977036207344039120e-02 6.980514017718413011e-02
6.129170259629911355e-01 -7.185560390834019873e-02 -4.819191884399803838e-02 4.971104611337438806e-02 6.985792768571626177e-02
