Dv	E1	E2	E3	E4	E5	E6	E7	E8
5.745745745745745557e-03	-5.792380877051475641e-02	-5.602685718632896550e-02	6.246067017012345984e-02	6.415544262607773829e-02	-6.415544262607773829e-02	-6.246067017012345984e-02	5.602685718632896550e-02	5.792380877051475641e-02
5.950950950950950787e-03	-5.781100820185471056e-02	-5.591050622671014936e-02	6.257398974210783005e-02	6.426509112925818390e-02	-6.426509112925818390e-02	-6.257398974210783005e-02	5.591050622671014936e-02	5.781100820185471056e-02
6.156156156156156016e-03	-5.769815787355103004e-02	-5.579410758287545180e-02	6.268725019168711055e-02	6.437467835331625587e-02	-6.437467835331625587e-02	-6.268725019168711055e-02	5.579410758287545180e-02	5.769815787355103004e-02
6.361361361361361245e-03	-5.758525796280769549e-02	-5.567766143054118239e-02	6.280045129726140318e-02	6.448420407541555210e-02	-6.448420407541555210e-02	-6.280045129726140318e-02	5.567766143054118239e-02	5.758525796280769549e-02
6.566566566566566475e-03	-5.747230864617739604e-02	-5.556116794479050436e-02	6.291359283630507115e-02	6.459366807178455738e-02	-6.459366807178455738e-02	-6.291359283630507115e-02	5.556116794479050436e-02	5.747230864617739604e-02
6.771771771771771704e-03	-5.735931009958628035e-02	-5.544462730006860518e-02	6.302667458534108591e-02	6.470307011771533889e-02	-6.470307011771533889e-02	-6.302667458534108591e-02	5.544462730006860518e-02	5.735931009958628035e-02
6.976976976976976934e-03	-5.724626249831731711e-02	-5.532803967018118385e-02	6.313969631994137410e-02	6.481240998756858385e-02	-6.481240998756858385e-02	-6.313969631994137410e-02	5.532803967018118385e-02	5.724626249831731711e-02
7.182182182182182163e-03	-5.713316601703390119e-02	-5.521140522831207570e-02	6.325265781473297932e-02	6.492168745474886926e-02	-6.492168745474886926e-02	-6.325265781473297932e-02	5.521140522831207570e-02	5.713316601703390119e-02
7.387387387387387393e-03	-5.702002082976433128e-02	-5.509472414701243465e-02	6.336555884336950162e-02	6.503090229171774872e-02	-6.503090229171774872e-02	-6.336555884336950162e-02	5.509472414701243465e-02	5.702002082976433128e-02
7.592592592592592622e-03	-5.690682710992414628e-02	-5.497799659821916984e-02	6.347839917854301850e-02	6.514005426996827275e-02	-6.514005426996827275e-02	-6.347839917854301850e-02	5.497799659821916984e-02	5.690682710992414628e-02
7.797797797797797852e-03	-5.679358503030162986e-02	-5.486122275324240016e-02	6.359117859196355971e-02	6.524914316003174730e-02	-6.524914316003174730e-02	-6.359117859196355971e-02	5.486122275324240016e-02	5.679358503030162986e-02
8.003003003003002214e-03	-5.668029476307935577e-02	-5.474440278278791538e-02	6.370389685437127802e-02	6.535816873147447248e-02	-6.535816873147447248e-02	-6.370389685437127802e-02	5.474440278278791538e-02	5.668029476307935577e-02
8.208208208208207443e-03	-5.656695647981995617e-02	-5.462753685693977346e-02	6.381655373550979005e-02	6.546713075287514949e-02	-6.546713075287514949e-02	-6.381655373550979005e-02	5.462753685693977346e-02	5.656695647981995617e-02
8.413413413413412673e-03	-5.645357035148748648e-02	-5.451062514518434376e-02	6.392914900412662027e-02	6.557602899183188894e-02	-6.557602899183188894e-02	-6.392914900412662027e-02	5.451062514518434376e-02	5.645357035148748648e-02
8.618618618618617902e-03	-5.634013654843357533e-02	-5.439366781640241760e-02	6.404168242797937671e-02	6.568486321495851932e-02	-6.568486321495851932e-02	-6.404168242797937671e-02	5.439366781640241760e-02	5.634013654843357533e-02
8.823823823823823131e-03	-5.622665524041791513e-02	-5.427666503887024207e-02	6.415415377380521977e-02	6.579363318786209114e-02	-6.579363318786209114e-02	-6.415415377380521977e-02	5.427666503887024207e-02	5.622665524041791513e-02
9.029029029029028361e-03	-5.611312659659495328e-02	-5.415961698027458443e-02	6.426656280733443471e-02	6.590233867515273014e-02	-6.590233867515273014e-02	-6.426656280733443471e-02	5.415961698027458443e-02	5.611312659659495328e-02
9.234234234234233590e-03	-5.599955078553458393e-02	-5.404252380770346864e-02	6.437890929326813005e-02	6.601097944042315369e-02	-6.601097944042315369e-02	-6.437890929326813005e-02	5.404252380770346864e-02	5.599955078553458393e-02
9.439439439439438820e-03	-5.588592797520796490e-02	-5.392538568766241935e-02	6.449119299529168514e-02	6.611955524626013381e-02	-6.611955524626013381e-02	-6.449119299529168514e-02	5.392538568766241935e-02	5.588592797520796490e-02
9.644644644644644049e-03	-5.577225833300880620e-02	-5.380820278606418539e-02	6.460341367604342799e-02	6.622806585421918413e-02	-6.622806585421918413e-02	-6.460341367604342799e-02	5.380820278606418539e-02	5.577225833300880620e-02
