# phi  e_band1  e_band2  e_band3  e_band4
4.211840075848246601e-01 -6.660648325263272829e-02 -5.331009508029962984e-02 5.169765487385966779e-02 6.855157559485541841e-02
4.243271718205323118e-01 -6.666028182849506600e-02 -5.325142106804026804e-02 5.164046728791048257e-02 6.860631931518901272e-02
4.274703360562399634e-01 -6.671406446544801694e-02 -5.319273576568496475e-02 5.158326991327891881e-02 6.866104444742573976e-02
4.306135002919476151e-01 -6.676783113390834246e-02 -5.313403919391337937e-02 5.152606276759277848e-02 6.871575095607168615e-02
4.337566645276552668e-01 -6.682158180422682892e-02 -5.307533137337029638e-02 5.146884586845128229e-02 6.877043880555021305e-02
4.368998287633629185e-01 -6.687531644668821829e-02 -5.301661232466574336e-02 5.141161923342522921e-02 6.882510796020165078e-02
4.400429929990705702e-01 -6.692903503151075018e-02 -5.295788206837513667e-02 5.135438288005705898e-02 6.887975838428297970e-02
4.431861572347782219e-01 -6.698273752884612020e-02 -5.289914062503921904e-02 5.129713682586087287e-02 6.893439004196755260e-02
4.463293214704858736e-01 -6.703642390877914692e-02 -5.284038801516442729e-02 5.123988108832260024e-02 6.898900289734483104e-02
4.494724857061935253e-01 -6.709009414132768856e-02 -5.278162425922276746e-02 5.118261568490002633e-02 6.904359691442005231e-02
4.526156499419011769e-01 -6.714374819644224057e-02 -5.272284937765199520e-02 5.112534063302288240e-02 6.909817205711392407e-02
4.557588141776088286e-01 -6.719738604400575521e-02 -5.266406339085569904e-02 5.106805595009292903e-02 6.915272828926238846e-02
4.589019784133164248e-01 -6.725100765383348889e-02 -5.260526631920344615e-02 5.101076165348403940e-02 6.920726557461624739e-02
4.620451426490240765e-01 -6.730461299567272460e-02 -5.254645818303083082e-02 5.095345776054226866e-02 6.926178387684088500e-02
4.651883068847317282e-01 -6.735820203920252214e-02 -5.248763900263958559e-02 5.089614428858595108e-02 6.931628315951604558e-02
4.683314711204393799e-01 -6.741177475403348218e-02 -5.242880879829772689e-02 5.083882125490572085e-02 6.937076338613534787e-02
4.714746353561470316e-01 -6.746533110970759362e-02 -5.236996759023951342e-02 5.078148867676469252e-02 6.942522452010618794e-02
